,PubYear,lemmatized_Abstract,lemmatized_Title,text
0,1986,system server work primary secondary vacation customer arise many computer communication production stochastic system system frequently model system vacation survey give overview general decomposition result methodology use obtain result vacation model also show relate model solve term result basic model attempt provide methodological overview objective illustrate seemingly diverse mix problem closely related structure understand common framework,system vacation survey,system server work primary secondary vacation customer arise many computer communication production stochastic system system frequently model system vacation survey give overview general decomposition result methodology use obtain result vacation model also show relate model solve term result basic model attempt provide methodological overview objective illustrate seemingly diverse mix problem closely related structure understand common framework system vacation survey
1,1986,paper outline state art study flexible manufacturing system fmss use analytical queuenetwork model include network reversible network approximate model non productform network focus identify major feature model relate operational characteristic model concern optimal design operational control network also discuss,queuenetwork model flexible manufacturing system,paper outline state art study flexible manufacturing system fmss use analytical queuenetwork model include network reversible network approximate model non productform network focus identify major feature model relate operational characteristic model concern optimal design operational control network also discuss queuenetwork model flexible manufacturing system
2,1986,paper study model assembly manufacture operation study motivated examination circuit pack testing procedure factory however model representative many manufacturing assembly operation assume customer fromn class arrive accord independent poisson process arrival rate singleserver station service time exponentially distribute service discipline require service render simultaneously group customer consist exactly member class server idle enough customer form group separate wait area customer belong class size wait area class customer arrive find wait area class full lose performance measure interest include block probability throughput mean length mean sojourn time state space system large exact answer even reasonable value parameter easy obtain therefore focus approach first find upper low bound mean sojourn time bound obtain asymptotic solution arrival rate waiting room service rate approach infinity second moderate value parameter suggest approximate solution method compare result approximation simulation result report good correspondence,finite capacity bound asymptotic approximation,paper study model assembly manufacture operation study motivated examination circuit pack testing procedure factory however model representative many manufacturing assembly operation assume customer fromn class arrive accord independent poisson process arrival rate singleserver station service time exponentially distribute service discipline require service render simultaneously group customer consist exactly member class server idle enough customer form group separate wait area customer belong class size wait area class customer arrive find wait area class full lose performance measure interest include block probability throughput mean length mean sojourn time state space system large exact answer even reasonable value parameter easy obtain therefore focus approach first find upper low bound mean sojourn time bound obtain asymptotic solution arrival rate waiting room service rate approach infinity second moderate value parameter suggest approximate solution method compare result approximation simulation result report good correspondence finite capacity bound asymptotic approximation
3,1986,generalize distribution linear combination exponential cdfs mix parameter positive negative sum unity denseness class respect class define establish show distribution find close give desire respect suitably define metric metric induce usual topology weak convergence equivalently exist sequence converge weakly give result establish use similar result weak convergence erlang mixture various set inclusion relation also obtain relate distribution commonly use class approximating distribution include generalize erlang mix generalize erlang mge reciprocal polynomial laptransform rational laptransform phase type distribution brief survey history approximating distribution theory also include,approximation generalize distribution weak convergence result,generalize distribution linear combination exponential cdfs mix parameter positive negative sum unity denseness class respect class define establish show distribution find close give desire respect suitably define metric metric induce usual topology weak convergence equivalently exist sequence converge weakly give result establish use similar result weak convergence erlang mixture various set inclusion relation also obtain relate distribution commonly use class approximating distribution include generalize erlang mix generalize erlang mge reciprocal polynomial laptransform rational laptransform phase type distribution brief survey history approximating distribution theory also include approximation generalize distribution weak convergence result
4,1986,assembly line service involve assemble unit come source terminology consider situation service render group customer class paper give procedure determine response time characteristic markov assumption finite capacity restriction impose restriction impose reflect reality well make analysis tractable course study also give recursive technique determine distribution time take specific number departure poisson arbitrary initial state demonstrate distribution related response time distribution assembly believe procedure also independent interest,capacity assembly,assembly line service involve assemble unit come source terminology consider situation service render group customer class paper give procedure determine response time characteristic markov assumption finite capacity restriction impose restriction impose reflect reality well make analysis tractable course study also give recursive technique determine distribution time take specific number departure poisson arbitrary initial state demonstrate distribution related response time distribution assembly believe procedure also independent interest capacity assembly
5,1986,underlie fundamental formula relation cumulative process continuous time integral length process discrete time sum wait time successive customer remainder term usually asymptotically negligible cumulative process random time transformation consequence addition familiar relation prob ability limit average roughly speak customer average wait obey central limit theorem time average length obey central limit theorem case average properly normalize converge distribution jointly individual limiting distribution simply related relation central limit theorem conveniently express term functional central limit theorem use continuous mapping theorem related argument central limit theorem apply compare asymptotic efficiency different estimator parameter example arrival rate know interarrivai time wait time negatively correlate asymptotically efficient estimate long run time average lengthl indirectly sample average waiting time invoke estimate sample average length variance reduction principle extend correspond result standard multiserver model establish law,central theorem version,underlie fundamental formula relation cumulative process continuous time integral length process discrete time sum wait time successive customer remainder term usually asymptotically negligible cumulative process random time transformation consequence addition familiar relation prob ability limit average roughly speak customer average wait obey central limit theorem time average length obey central limit theorem case average properly normalize converge distribution jointly individual limiting distribution simply related relation central limit theorem conveniently express term functional central limit theorem use continuous mapping theorem related argument central limit theorem apply compare asymptotic efficiency different estimator parameter example arrival rate know interarrivai time wait time negatively correlate asymptotically efficient estimate long run time average lengthl indirectly sample average waiting time invoke estimate sample average length variance reduction principle extend correspond result standard multiserver model establish law central theorem version
6,1986,give condition concern infinitesimal parameter birth death process process construct probability space process almost surely large application make multiserver system stochastic comparison length virtual waiting time multiserver system obtain,almost sure comparison birth death process application multiserver system,give condition concern infinitesimal parameter birth death process process construct probability space process almost surely large application make multiserver system stochastic comparison length virtual waiting time multiserver system obtain almost sure comparison birth death process application multiserver system
7,1986,theory occupy important role analysis computer storage structure algorithm survey focus secondary auxiliary storage device often comprise principal bottleneck overall performance computer system begin description important device disk drum general discussion relate model server motion dependent successive service salient feature model widely use generic result present apply specific device paper conclude discussion open problem,model secondary storage device,theory occupy important role analysis computer storage structure algorithm survey focus secondary auxiliary storage device often comprise principal bottleneck overall performance computer system begin description important device disk drum general discussion relate model server motion dependent successive service salient feature model widely use generic result present apply specific device paper conclude discussion open problem model secondary storage device
9,1987,system arrive customer find server wait position occupy retry service period time call retrial repeat order retrial widely use model many problem telephone switch system network computer network computer system paper discuss important retrial model present major analytic result technique use concentration mainly singleserver model multiserver model briefly discuss interested reader refer original paper detail also discuss stochastic decomposition property commonly hold retrial relationship retrial server vacation,survey retrial,system arrive customer find server wait position occupy retry service period time call retrial repeat order retrial widely use model many problem telephone switch system network computer network computer system paper discuss important retrial model present major analytic result technique use concentration mainly singleserver model multiserver model briefly discuss interested reader refer original paper detail also discuss stochastic decomposition property commonly hold retrial relationship retrial server vacation survey retrial
10,1987,paper review recent result base new technique use analysis main processor sharing system result include solution problem determine sojourn time distribution distribution number job singleserver egalitarian feedback foreground background processor sharing discipline brief discussion relate result also give,processor share progress analysis,paper review recent result base new technique use analysis main processor sharing system result include solution problem determine sojourn time distribution distribution number job singleserver egalitarian feedback foreground background processor sharing discipline brief discussion relate result also give processor share progress analysis
11,1987,paper present new perspective time dependent behavior singleserver factorial moment length function time start empty interesting structure facilitate develop approximation simple exponential approximation first moment function help show approach steady state time evolve formula also help determine steady state description reasonable arrival service rate nearly constant interval process start steady state,transient behavior multiserver start origin,paper present new perspective time dependent behavior singleserver factorial moment length function time start empty interesting structure facilitate develop approximation simple exponential approximation first moment function help show approach steady state time evolve formula also help determine steady state description reasonable arrival service rate nearly constant interval process start steady state transient behavior multiserver start origin
12,1987,first expository part paper outline point view different currently use theory part focus concept adopt personal probability point view source uncertainty theory explore consequence approach compare result currently available ease exposition confine attention singleserver part outline general strategy focus model development part address problem inference subjective paradigm introduce shannon measure information assess amount information convey various type datum,subjective bayesian approach theory model,first expository part paper outline point view different currently use theory part focus concept adopt personal probability point view source uncertainty theory explore consequence approach compare result currently available ease exposition confine attention singleserver part outline general strategy focus model development part address problem inference subjective paradigm introduce shannon measure information assess amount information convey various type datum subjective bayesian approach theory model
13,1987,sequel part subjective bayesian approach theory focus inference shannon measure information assess amount information convey various type datum notation terminology use establish part,subjective bayesian approach theory inference information singleserver,sequel part subjective bayesian approach theory focus inference shannon measure information assess amount information convey various type datum notation terminology use establish part subjective bayesian approach theory inference information singleserver
14,1987,paper provide overview literature statistical analysis system topic discuss include model identification estimation hypothesis testing relate aspect statistical problem cover book theory stochastic process bibliography exhaustive comprehensive enough provide source literature,statistical analysis system,paper provide overview literature statistical analysis system topic discuss include model identification estimation hypothesis testing relate aspect statistical problem cover book theory stochastic process bibliography exhaustive comprehensive enough provide source literature statistical analysis system
15,1987,model study consist server poisson arrival stream service time distribution service completion server proceed customer long unequal equal server choose probability customer model practical interest performance analysis also theoretical interest functional equation solve study literature basic analysis functional equation present numerical result give assess influence present service discipline new property transform service time distribution discuss appendix,server model priority long,model study consist server poisson arrival stream service time distribution service completion server proceed customer long unequal equal server choose probability customer model practical interest performance analysis also theoretical interest functional equation solve study literature basic analysis functional equation present numerical result give assess influence present service discipline new property transform service time distribution discuss appendix server model priority long
16,1987,singleserver move speed line interval circle length circumferencel customer require service constant durationb arrive interval circle random mean rate customer unit length unit time customer mean wait service depend partly rule govern server motion compare different server thepoll server thegreedy server know location wait customer poll server scan endlessly back forth interval clockwise circle stop encounter wait customer know customer wait greedy server always travel current near certain extreme value poll greedy server roughly equally effective indeed simple poll server often well theoretical result show case poll server high probability move near customer move greedy server greedy server difficult analyze simulate computer,poll greedy server line,singleserver move speed line interval circle length circumferencel customer require service constant durationb arrive interval circle random mean rate customer unit length unit time customer mean wait service depend partly rule govern server motion compare different server thepoll server thegreedy server know location wait customer poll server scan endlessly back forth interval clockwise circle stop encounter wait customer know customer wait greedy server always travel current near certain extreme value poll greedy server roughly equally effective indeed simple poll server often well theoretical result show case poll server high probability move near customer move greedy server greedy server difficult analyze simulate computer poll greedy server line
17,1987,present unified approach many problem bulk use analytical approach show numerically evaluate steady state probability moment number system time postdeparture prearrival random several bulk nonbulk approach use problem theory similar problem theory dams inventory present study extend computational result available table produce hillier several potential application method propose computationally efficient accurate stable accommodate high value parameter sample numerical result graph also present,computational analysis steady state probability singleserver relate nonbulk,present unified approach many problem bulk use analytical approach show numerically evaluate steady state probability moment number system time postdeparture prearrival random several bulk nonbulk approach use problem theory similar problem theory dams inventory present study extend computational result available table produce hillier several potential application method propose computationally efficient accurate stable accommodate high value parameter sample numerical result graph also present computational analysis steady state probability singleserver relate nonbulk
18,1987,model assembly operation separate input process deliver different type component customer service station assemble serve input request correct mix component customer present input work develop effective approximate analytical solution assembly system class customer formingn independent poisson arrival rate arrival class customer turn number customer class system exceed number class certain amount approximation base decomposition originaln input stream stage cascade ofn input stream stage allow refer theory pair customer system foundation analysis make problem computationally tractable performance measure server utilization throughput average delay easily compute illustrative purpose theory technique present applied approximate analysis system withn numerical example show approximation accurate wide range parameter interest,approximate analysis class assembly,model assembly operation separate input process deliver different type component customer service station assemble serve input request correct mix component customer present input work develop effective approximate analytical solution assembly system class customer formingn independent poisson arrival rate arrival class customer turn number customer class system exceed number class certain amount approximation base decomposition originaln input stream stage cascade ofn input stream stage allow refer theory pair customer system foundation analysis make problem computationally tractable performance measure server utilization throughput average delay easily compute illustrative purpose theory technique present applied approximate analysis system withn numerical example show approximation accurate wide range parameter interest approximate analysis class assembly
19,1987,familiar principle express formulalw interpret relation strong law large number previous paper show principle extend include relation classical limit theorem central limit theorem law iterate logarithm provide sufficient condition limit theorem use regenerative structure,sufficient condition functional limit theorem version,familiar principle express formulalw interpret relation strong law large number previous paper show principle extend include relation classical limit theorem central limit theorem law iterate logarithm provide sufficient condition limit theorem use regenerative structure sufficient condition functional limit theorem version
20,1987,paper consider maintenance unreliable singleserver job shop integrate maintenance process result operate characteristic system breakdown lead unscheduled maintenance otherwise preventive maintenance do whenn job process come first use argument renewal theory basic result regard maintenance policy establish analytical numerical example study detail,maintenance unreliable singleserver job shop,paper consider maintenance unreliable singleserver job shop integrate maintenance process result operate characteristic system breakdown lead unscheduled maintenance otherwise preventive maintenance do whenn job process come first use argument renewal theory basic result regard maintenance policy establish analytical numerical example study detail maintenance unreliable singleserver job shop
21,1987,reduce system small system derive process analyze large system solve steady state probability markov chain generally solution find first solve reduced system equation obtain appropriately partition transition probability matrix paper reduce system standard reduce system property relative original system also discuss first passage probability mean standard reduce system relative original system property illustrate determine steady state probability first passage time characteristic,reduce system chain application theory,reduce system small system derive process analyze large system solve steady state probability markov chain generally solution find first solve reduced system equation obtain appropriately partition transition probability matrix paper reduce system standard reduce system property relative original system also discuss first passage probability mean standard reduce system relative original system property illustrate determine steady state probability first passage time characteristic reduce system chain application theory
22,1987,consider singleserver system arrival rate service time density function state stochastic process describe system total unfinished work present allow arrival service rate process depend current value unfinished work employ singular perturbation method compute asymptotic approximation stationary distribution unfinished work particular compute stationary probability empty,modulate singleserver stationary distribution,consider singleserver system arrival rate service time density function state stochastic process describe system total unfinished work present allow arrival service rate process depend current value unfinished work employ singular perturbation method compute asymptotic approximation stationary distribution unfinished work particular compute stationary probability empty modulate singleserver stationary distribution
23,1987,study system withm exponential server distinct service rate job arrive system follow arbitrary point process arrive job receive service first unoccupied server accord entry order permutation integer system finite buffer capacity buffer limit reach arrival block block job lose come back new arrival random travel time concern dynamic stochastic behavior system different entry order partial ordering establish entry order show result quite strong ordering associated stochastic process reflect congestion service characteristic system result develop complement exist comparison result homogeneous server apply aid design conveyor communication system,compare order entry heterogeneous server,study system withm exponential server distinct service rate job arrive system follow arbitrary point process arrive job receive service first unoccupied server accord entry order permutation integer system finite buffer capacity buffer limit reach arrival block block job lose come back new arrival random travel time concern dynamic stochastic behavior system different entry order partial ordering establish entry order show result quite strong ordering associated stochastic process reflect congestion service characteristic system result develop complement exist comparison result homogeneous server apply aid design conveyor communication system compare order entry heterogeneous server
24,1987,formula develop problem analyze tanner stream traffic conflict demand intersection situation major stream absolute priority minor stream vehicle enter intersection sufficiently large gap appear major stream paper extend tanner work consider generalise stochastic structure arrival stream paper also link tanner work paper author utilitarian value generalise model establish wide range traffic problem,extension tanner result uncontrolled intersection,formula develop problem analyze tanner stream traffic conflict demand intersection situation major stream absolute priority minor stream vehicle enter intersection sufficiently large gap appear major stream paper extend tanner work consider generalise stochastic structure arrival stream paper also link tanner work paper author utilitarian value generalise model establish wide range traffic problem extension tanner result uncontrolled intersection
